Statistical unit;Unit of measure;Level of education;Orientation;Type of institution;Type of expenditure;Source of funding;Funding flow;Teaching experience;Type of contract;Reference area;Time Period;2010;2011;2012;2013;2014;2015;2016;2017
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L02:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;102.348.469;172.411.114;112.861.536;7.686.951;13.543.632;14.274.444;;
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L5T8:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;1.539.835;1.718.857;1.500.662;1.231.984;1.296.429;;1.832.144;
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.880.435;1.912.670;1.739.562;2.167.391;1.966.486;1.856.875;1.930.131;2.004.203
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L5T8:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;4.610.669;;6.451.594;6.018.460
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L2:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;97.625.119;80.690.526;76.434.355;111.685.395;86.825.668;80.706.473;;
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L5T8:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.540.288;1.718.578;1.500.547;1.223.385;1.287.637;;1.827.523;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L1:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;150.365;;149.584;152.416
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L4:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;3.039.936;;3.039.936;3.039.940
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2_3:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;0.37000;;0.20722;0.20722
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L02:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;31.809.002;53.583.854;35.076.370;2.389.037;4.209.241;4.436.371;;
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;107.080.813;84.658.437;88.424.223;91.003.931;75.568.037;80.553.728;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L02:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;5.654.351;;5.127.801;5.127.798
XUNIT:Government expenditure per student;USD:US dollar;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L5T8:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;86.525.159;112.274.484;115.991.290;96.500.093;78.254.958;;89.084.335;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L3:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;8.824.890;;8.439.646;8.439.648
EDU_EXP:Expenditure on education;GNI:as % of GNI;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.79240;0.94890;0.87551;0.69894;0.77911;0.81977;100.135;123.303
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:_T:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;2.589.353;;2.081.648;1.960.175
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.905.740;1.441.121;1.484.600;1.671.844;1.408.832;1.453.780;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L1:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.585.275;9.523.581;9.644.835;9.693.108;9.876.610
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L02:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;566.278;911.998;588.870;0.43583;0.77942;0.79827;;
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.535.747.246;1.526.577.447;1.424.708.147;1.276.764.926;1.163.550.951;1.215.395.534;1.443.026.309;1.842.784.179
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;_T:Total;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:_T:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;8.744.821;9.104.146;8.922.168;9.525.956;9.350.114;;;9.685.161
EDU_EXP:Expenditure on education;GDP:as % of GDP;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L5T8:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;0.79217;0.94906;0.87557;0.70385;0.78443;0.82222;100.388;123.686
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;1.389.591;1.069.799;1.185.073;1.053.550;941.552
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L2:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;89.314.196;75.255.150;69.143.535;105.781.556;80.662.575;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:_T:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;393.125;;1.032.238;762.184
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L02:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;4.345.649;;4.872.199;4.872.202
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2_3:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;8.117.513;;8.097.150;8.355.323
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;58.683.862;70.333.699;64.244.678;69.598.922;61.040.990;69.773.601;64.617.868;71.002.911
EDU_EXP:Expenditure on education;GNI:as % of GNI;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L1:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.83921;0.90497;0.74836;0.76552;0.71248;;;113.829
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;528.613;709.824;384.944;388.093;115.610
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L5T8:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;4.919.867;;6.823.458;6.879.060
EDU_EXP:Expenditure on education;USD:US dollar;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;379.051.764;461.933.591;469.728.088;481.628.924;352.069.341;324.928.070;374.725.227;478.402.730
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L2_3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.829.642;1.410.434;1.392.143;1.810.744;1.484.992;1.454.783;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;_T:Total;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:_T:_T:_T:CUR:GOV:_T:_Z:_Z:IR;324.456;317.226;282.685;290.212;260.153;;;365.968
XUNIT:Government expenditure per student;USD:US dollar;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L2_3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;102.809.722;92.128.505;107.603.514;141.833.854;89.636.943;80.609.288;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L02:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;4.345.649;;4.872.199;4.872.202
XUNIT:Government expenditure per student;USD:US dollar;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L2_3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;102.809.722;92.128.505;107.603.514;141.833.854;89.636.943;80.609.288;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L1:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;7.720.332;;8.573.591;8.735.901
EDU_EXP:Expenditure on education;GNI:as % of GNI;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;371.027;348.441;316.834;304.654;278.235;278.907;335.727;377.864
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L4:_T:_T:CUR:GOV:_T:_Z:_Z:IR;348.347;457.829;428.985;558.210;534.031;;;397.828
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L1:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;67.328.976;73.160.955;62.984.705;42.595.884;42.044.421;42.362.537;;
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;275.489.897;231.538.670;230.084.123;267.216.142;218.025.610;;;
XUNIT:Government expenditure per student;USD:US dollar;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L2_3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;91.437.194;84.961.033;94.069.581;134.072.344;82.394.190;;;
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L2_3:Secondary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L2_3:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;8.893.828;9.222.014;8.742.241;9.452.775;9.191.990;;;100
